x:-0.092,y:-0.136,z:0.118
x:0.508,y:0.144,z:0.124
x:0.497,y:-0.247,z:0.028
x:0.080,y:0.108,z:-0.053
x:-0.282,y:0.187,z:0.093
x:-0.149,y:0.194,z:0.269
x:-0.090,y:-0.142,z:0.196
x:-0.056,y:-0.224,z:0.248
x:-0.029,y:-0.011,z:0.245
x:0.023,y:0.046,z:-0.338
x:-0.129,y:0.130,z:-0.257
x:0.326,y:-0.074,z:-0.406
x:0.013,y:0.082,z:-0.176
x:-0.224,y:-0.050,z:0.069
